date,y,score,fold_id,model
2021-01-08,0,0.5482679527160793,0,logistic
2021-01-09,0,0.5181842172534191,0,logistic
2021-01-10,0,0.6853860912191562,0,logistic
2021-01-11,0,0.9862584287592004,0,logistic
2021-01-12,0,0.09058567834562548,0,logistic
2021-01-13,0,0.3297188798210143,0,logistic
2021-01-14,0,0.8869534007683282,0,logistic
2021-01-15,0,0.3323898404853296,0,logistic
2021-01-16,0,0.060057574723198934,0,logistic
2021-01-17,0,0.09192996004413423,0,logistic
2021-01-18,0,0.0526046472761228,0,logistic
2021-01-19,0,0.17950605346437826,0,logistic
2021-01-20,0,0.2919133888801265,0,logistic
2021-01-21,0,0.9552253344897293,0,logistic
2021-01-22,0,0.007290522878877275,0,logistic
2021-01-23,0,0.0648612359218189,0,logistic
2021-01-24,0,0.1575117092396461,0,logistic
2021-01-25,0,0.02030635717026491,0,logistic
2021-01-26,0,0.01709912545553637,0,logistic
2021-01-27,0,0.011225971689820702,0,logistic
2021-01-28,0,0.0006655233072407278,0,logistic
2021-01-29,0,0.03436940880807273,0,logistic
2021-01-30,0,0.0007968170154381719,0,logistic
2021-01-31,0,0.3471038413019862,0,logistic
2021-02-01,0,0.04057606957506308,0,logistic
2021-02-02,0,0.5049583699545951,0,logistic
2021-02-03,0,0.04380166989650945,0,logistic
2021-02-04,0,0.10479282555337088,0,logistic
2021-02-05,0,0.0155357271938304,0,logistic
2021-02-06,0,0.05317314293747632,0,logistic
2021-02-07,0,0.3296291905757616,0,logistic
2021-02-08,0,0.9992964085089585,0,logistic
2021-02-09,0,0.6846383316536261,0,logistic
2021-02-10,0,0.9550444766041316,0,logistic
2021-02-11,0,0.33726882705593153,0,logistic
2021-02-12,0,0.1403779064980113,0,logistic
2021-02-13,0,0.03693600274258974,0,logistic
2021-02-14,0,0.029214291932496517,0,logistic
2021-02-15,0,0.1912539397974857,0,logistic
2021-02-16,0,0.6856395480732684,0,logistic
2021-02-17,0,0.22792876074029556,0,logistic
2021-02-18,0,0.012113784295877674,0,logistic
2021-02-19,0,0.9576516984791056,0,logistic
2021-02-20,0,0.9079886241304672,0,logistic
2021-02-21,0,0.9609291810994204,0,logistic
2021-02-22,0,0.9935258404835957,0,logistic
2021-02-23,0,0.9996751001477426,0,logistic
2021-02-24,0,0.9946401461973001,0,logistic
2021-02-25,0,0.9927317631250264,0,logistic
2021-02-26,0,0.9712931383935071,0,logistic
2021-02-27,0,0.9989953653486062,0,logistic
2021-02-28,0,0.9984322971310868,0,logistic
2021-03-01,0,0.932691432704868,0,logistic
2021-03-02,0,0.7144499035765844,0,logistic
2021-03-03,0,0.986796504416493,0,logistic
2021-03-04,0,0.8684601224613404,0,logistic
2021-03-05,0,0.7333423695702727,0,logistic
2021-03-06,0,0.06620811248906922,0,logistic
2021-03-07,0,0.6289017729254748,0,logistic
2021-03-08,0,0.8061230498320269,0,logistic
2021-03-09,0,0.8301321139719375,0,logistic
2021-03-10,0,0.9725051328280281,0,logistic
2021-03-11,0,0.9957908870150406,0,logistic
2021-03-12,0,0.9986174202506988,0,logistic
2021-03-13,0,0.9941591376617546,0,logistic
2021-03-14,0,0.8094817186614469,0,logistic
2021-03-15,0,0.9777279421159448,0,logistic
2021-03-16,0,0.9959492824457133,0,logistic
2021-03-17,0,0.9838825856453307,0,logistic
2021-03-18,0,0.33281266547469185,0,logistic
2021-03-19,0,0.0002768713186483587,0,logistic
2021-03-20,0,0.001027645195198959,0,logistic
2021-03-21,0,0.2854866599228176,0,logistic
2021-03-22,0,0.03010766101290101,0,logistic
2021-03-23,0,0.013739361753966523,0,logistic
2021-03-24,0,0.06527999153498917,0,logistic
2021-03-25,0,0.0005116662997648383,0,logistic
2021-03-26,0,0.26271239267890806,0,logistic
2021-03-27,0,0.05058862364381138,0,logistic
2021-03-28,1,0.8711228693324945,0,logistic
2021-03-29,1,0.6460112698221578,0,logistic
2021-03-30,1,0.9924273943263919,0,logistic
2021-03-31,1,0.994755146078808,0,logistic
2021-04-01,0,0.9831752510994385,0,logistic
2021-04-02,0,0.5191406544929392,0,logistic
2021-04-03,0,0.17184649519143633,0,logistic
2021-04-04,0,0.37481784904435556,0,logistic
2021-04-05,0,0.03155022530877358,0,logistic
2021-04-06,0,0.011294217777539799,0,logistic
2021-04-07,0,0.005141382905742857,0,logistic
2021-04-08,0,0.00041494644684012905,0,logistic
2021-04-09,0,0.0018054009814374612,0,logistic
2021-04-10,0,0.012194747164070005,0,logistic
2021-04-11,0,0.1950481946934338,0,logistic
2021-04-12,0,0.9027827039117828,0,logistic
2021-04-13,0,0.7014113965727433,0,logistic
2021-04-14,0,0.4606357570264405,0,logistic
2021-04-15,0,0.8343146713052936,0,logistic
2021-04-16,0,0.9589988034633257,0,logistic
2021-04-17,0,0.05834810617952549,0,logistic
2021-04-18,0,0.009314538942987763,0,logistic
2021-04-19,0,0.005282599513211373,0,logistic
2021-04-20,0,0.18672865047234968,0,logistic
2021-04-21,0,0.09220210861113684,0,logistic
2021-04-22,0,0.5381553805075259,0,logistic
2021-04-23,0,0.7324746153096053,0,logistic
2021-04-24,0,0.3967894780483274,0,logistic
2021-04-25,0,0.640522195747434,0,logistic
2021-04-26,0,0.03174192657973272,0,logistic
2021-04-27,0,0.9696188901224495,0,logistic
2021-04-28,1,0.38670886309310376,0,logistic
2021-04-29,1,0.9857600411536827,0,logistic
2021-04-30,1,0.19175474227966402,0,logistic
2021-05-01,1,0.9358992993489271,0,logistic
2021-05-02,1,0.8212658905435043,0,logistic
2021-05-03,1,0.811111537072529,0,logistic
2021-05-04,0,0.8686630908913664,0,logistic
2021-05-05,0,0.8688331924335024,0,logistic
2021-05-06,0,0.921615583258059,0,logistic
2021-05-07,0,0.25651148456105227,0,logistic
2021-05-08,0,0.07568854852699883,0,logistic
2021-05-09,0,0.8869446333982154,0,logistic
2021-05-10,0,0.9595123999071796,0,logistic
2021-05-11,0,0.8465615056899097,0,logistic
2021-05-12,0,0.9260213302268234,0,logistic
2021-05-13,0,0.7751724714832209,0,logistic
2021-05-14,0,0.08499225677261327,0,logistic
2021-05-15,0,0.18985045499406517,0,logistic
2021-05-16,0,0.39856402191647655,0,logistic
2021-05-17,0,0.7700875886612455,0,logistic
2021-05-18,0,0.5489768457412834,0,logistic
2021-05-19,0,0.13522937843702237,0,logistic
2021-05-20,0,0.18338486115192704,0,logistic
2021-05-21,0,0.3633078487460009,0,logistic
2021-05-22,0,0.4890068443355172,0,logistic
2021-05-23,0,0.917288202954999,0,logistic
2021-05-24,0,0.6063221698684129,0,logistic
2021-05-25,0,0.7313122399230322,0,logistic
2021-05-26,0,0.04786147355602935,0,logistic
2021-05-27,0,0.36311434257509934,0,logistic
2021-05-28,0,0.09119060136133383,0,logistic
2021-05-29,0,0.12815724376990517,0,logistic
2021-05-30,0,0.07649539476818583,0,logistic
2021-05-31,0,0.08633641826548125,0,logistic
2021-06-01,0,0.3027966165037046,0,logistic
2021-06-02,0,0.45423270239625224,0,logistic
2021-06-03,0,0.9214343744432988,0,logistic
2021-06-04,0,0.004237630472216004,0,logistic
2021-06-05,0,0.0059850192120156015,0,logistic
2021-06-06,0,0.7493357616348331,0,logistic
2021-06-07,0,0.17739338375489935,0,logistic
2021-06-08,0,0.5483422463312947,0,logistic
2021-06-09,0,0.9611887272615219,0,logistic
2021-06-10,0,0.07062144005238234,0,logistic
2021-06-11,0,0.9151594985397512,0,logistic
2021-06-12,0,0.03306729011772027,0,logistic
2021-06-13,0,0.7225421207145485,0,logistic
2021-06-14,0,0.9985753197035145,0,logistic
2021-06-15,0,0.5908035295388352,0,logistic
2021-06-16,0,0.7060858052564977,0,logistic
2021-06-17,0,0.9957739642798793,0,logistic
2021-06-18,1,0.8880778080140704,0,logistic
2021-06-19,0,0.5468880426953417,0,logistic
2021-06-20,0,0.13512663006459752,0,logistic
2021-06-21,0,0.9959468745370054,0,logistic
2021-06-22,0,0.9030691818002692,0,logistic
2021-06-23,0,0.8749656476712647,0,logistic
2021-06-24,0,0.06867051703722589,0,logistic
2021-06-25,0,0.015068717259132794,0,logistic
2021-06-26,0,0.006523307345598756,0,logistic
2021-06-27,0,0.001570992770892976,0,logistic
2021-06-28,0,0.9974938273701168,0,logistic
2021-06-29,0,0.9995674255142071,0,logistic
2021-06-30,0,0.9998886482571698,0,logistic
2021-07-08,0,0.15064237450727558,1,logistic
2021-07-09,0,0.06659878080596206,1,logistic
2021-07-10,0,0.05510400593031163,1,logistic
2021-07-11,0,0.928126206643266,1,logistic
2021-07-12,0,0.021419396551012108,1,logistic
2021-07-13,0,0.5964653198142502,1,logistic
2021-07-14,0,0.09813324108184673,1,logistic
2021-07-15,0,0.8183939375695887,1,logistic
2021-07-16,0,0.08768998976224392,1,logistic
2021-07-17,0,0.004383354844619698,1,logistic
2021-07-18,0,0.016047836800095316,1,logistic
2021-07-19,0,0.010620928327863259,1,logistic
2021-07-20,0,0.3718973794708437,1,logistic
2021-07-21,0,0.8076821404752912,1,logistic
2021-07-22,0,0.3033766082684742,1,logistic
2021-07-23,0,0.2048815313697481,1,logistic
2021-07-24,0,0.014287413149261585,1,logistic
2021-07-25,0,0.41554931120366906,1,logistic
2021-07-26,0,0.01685585977687993,1,logistic
2021-07-27,0,0.014398658598217616,1,logistic
2021-07-28,0,0.0010900717093405554,1,logistic
2021-07-29,0,0.0016405249865323562,1,logistic
2021-07-30,0,0.0024805298974896724,1,logistic
2021-07-31,0,0.7108871851629885,1,logistic
2021-08-01,0,0.0976496598509368,1,logistic
2021-08-02,0,0.6397447582618443,1,logistic
2021-08-03,0,0.9748099776490325,1,logistic
2021-08-04,0,0.8845327325230156,1,logistic
2021-08-05,0,0.037811884351883256,1,logistic
2021-08-06,0,0.03141337571175732,1,logistic
2021-08-07,0,0.4493223944170752,1,logistic
2021-08-08,0,0.8869020334297092,1,logistic
2021-08-09,0,0.8631609688533167,1,logistic
2021-08-10,0,0.2554028072289046,1,logistic
2021-08-11,0,0.0025112693706264987,1,logistic
2021-08-12,0,0.23468284860213182,1,logistic
2021-08-13,0,0.0044148834223705505,1,logistic
2021-08-14,0,0.00010220278325648067,1,logistic
2021-08-15,0,0.0042643423486674,1,logistic
2021-08-16,0,0.0014747675862817526,1,logistic
2021-08-17,0,0.011595212089461715,1,logistic
2021-08-18,0,0.15555596654311138,1,logistic
2021-08-19,0,0.22735550703625007,1,logistic
2021-08-20,0,0.037440778226177314,1,logistic
2021-08-21,0,0.6503593629896224,1,logistic
2021-08-22,0,0.14066051121987566,1,logistic
2021-08-23,0,0.08328378140390667,1,logistic
