date,target,fold_id,rank_score,raw_score,config_id
2023-07-08,0,0,0.696,0.02929683808693783,0
2023-07-09,0,0,0.144,0.008621878847457753,0
2023-07-10,0,0,0.24,0.010656937670069182,0
2023-07-11,0,0,0.792,0.040230176819394746,0
2023-07-12,0,0,0.544,0.018888230456853276,0
2023-07-13,1,0,0.616,0.023340159192913795,0
2023-07-14,1,0,0.344,0.011950949157147747,0
2023-07-15,0,0,0.336,0.011581171769924582,0
2023-07-16,0,0,0.112,0.007861116799897646,0
2023-07-17,0,0,0.144,0.008453826893695317,0
2023-07-18,0,0,0.0,0.004288390316813879,0
2023-07-19,0,0,0.12,0.008165261106355614,0
2023-07-20,0,0,0.448,0.014517734198631995,0
2023-07-21,0,0,0.176,0.009173310871676266,0
2023-07-22,0,0,0.312,0.011272380933229055,0
2023-07-23,0,0,0.8,0.04156090230545961,0
2023-07-24,0,0,0.4,0.01340351974702127,0
2023-07-25,0,0,0.568,0.020442590688448968,0
2023-07-26,0,0,0.8,0.041238283228157,0
2023-07-27,0,0,0.832,0.04659410476015518,0
2023-07-28,0,0,0.464,0.015430189199807353,0
2023-07-29,0,0,0.896,0.11532217881631138,0
2023-07-30,0,0,0.832,0.045796357182681074,0
2023-07-31,0,0,0.232,0.010294301827450029,0
2023-08-01,0,0,0.832,0.04680215560515801,0
2023-08-02,0,0,0.52,0.017895647463052743,0
2023-08-03,0,0,0.36,0.012407189623461793,0
2023-08-04,0,0,0.808,0.042092749083939,0
2023-08-05,0,0,0.52,0.018122913097188987,0
2023-08-06,0,0,0.264,0.010772942361837104,0
2023-08-07,0,0,0.296,0.01100010746663625,0
2023-08-08,0,0,0.088,0.007231560237150845,0
2023-08-09,0,0,0.168,0.008958971799651685,0
2023-08-10,0,0,0.68,0.027262012885707416,0
2023-08-11,0,0,0.624,0.02352722010021002,0
2023-08-12,0,0,0.592,0.02153662653872247,0
2023-08-13,0,0,0.192,0.009492197025658467,0
2023-08-14,0,0,0.12,0.00803036963042179,0
2023-08-15,0,0,0.568,0.020777215766472217,0
2023-08-16,0,0,0.08,0.006861643889849134,0
2023-08-17,0,0,0.224,0.00980981977983395,0
2023-08-18,1,0,0.088,0.007203279835625781,0
2023-08-19,0,0,0.424,0.013595315292388091,0
2023-08-20,0,0,0.592,0.021992672146066438,0
2023-08-21,0,0,0.832,0.04854126838225923,0
2023-08-22,0,0,0.888,0.09201363179822354,0
2023-08-23,0,0,0.432,0.01402400916061147,0
2023-08-24,0,0,0.672,0.025469244647887287,0
2023-08-25,0,0,0.52,0.017821484047316104,0
2023-08-26,0,0,0.504,0.017417968386165432,0
2023-08-27,0,0,0.904,0.2526019993053867,0
2023-08-28,0,0,0.808,0.04285832597611909,0
2023-08-29,0,0,0.768,0.03425191447418862,0
2023-08-30,0,0,0.904,0.16629227113169248,0
2023-08-31,0,0,0.496,0.017110360868296856,0
2023-09-01,0,0,0.904,0.4040247998715555,0
2023-09-02,0,0,0.792,0.0410041823363753,0
2023-09-03,0,0,0.896,0.128508791867943,0
2023-09-04,0,0,0.904,0.3852207163924732,0
2023-09-05,1,0,0.904,0.23782447866312917,0
2023-09-06,1,0,0.776,0.03862225461865922,0
2023-09-07,1,0,0.896,0.13220867674279607,0
2023-09-08,1,0,0.904,0.5033364527829653,0
2023-09-09,0,0,0.904,0.19420682584578325,0
2023-09-10,0,0,0.424,0.013714303821919887,0
2023-09-11,0,0,0.696,0.029044898588161183,0
2023-09-12,0,0,0.344,0.012156659246985628,0
2023-09-13,0,0,0.448,0.014758925706796131,0
2023-09-14,0,0,0.648,0.024400148071776998,0
2023-09-15,0,0,0.488,0.016137326376884333,0
2023-09-16,0,0,0.592,0.022383563082795987,0
2023-09-17,0,0,0.344,0.012051254715053373,0
2023-09-18,0,0,0.016,0.005217914975172558,0
2023-09-19,0,0,0.128,0.008197914174014952,0
2023-09-20,0,0,0.264,0.010782813667605662,0
2023-09-21,0,0,0.312,0.011368766562995404,0
2023-09-22,0,0,0.04,0.0055920173046366305,0
2023-09-23,0,0,0.768,0.03771399678066837,0
2023-09-24,0,0,0.616,0.023212155891562673,0
2023-09-25,0,0,0.632,0.024152995609675997,0
2023-09-26,0,0,0.904,0.2954621073513218,0
2023-09-27,0,0,0.768,0.03444958255824666,0
2023-09-28,0,0,0.216,0.009799219313083064,0
2023-09-29,0,0,0.84,0.04916439625757247,0
2023-09-30,0,0,0.608,0.02294253695722593,0
2023-10-08,0,1,0.6728110599078341,0.03123451979975805,0
2023-10-09,0,1,0.271889400921659,0.010121768098911587,0
2023-10-10,0,1,0.41935483870967744,0.014268786533709636,0
2023-10-11,0,1,0.391705069124424,0.013471150307647806,0
2023-10-12,0,1,0.8894009216589862,0.10316344809071723,0
2023-10-13,1,1,0.5990783410138248,0.02184155314996072,0
2023-10-14,1,1,0.39631336405529954,0.013785814073312022,0
2023-10-15,0,1,0.6082949308755761,0.023029715670814428,0
2023-10-16,1,1,0.7557603686635944,0.040783767578621684,0
2023-10-17,1,1,0.7557603686635944,0.039261445516451415,0
2023-10-18,0,1,0.11059907834101383,0.006219765858793978,0
2023-10-19,0,1,0.14285714285714285,0.006800581848782406,0
2023-10-20,0,1,0.29493087557603687,0.010687082575728282,0
2023-10-21,0,1,0.31336405529953915,0.011419491678228992,0
2023-10-22,0,1,0.19815668202764977,0.008100885101819394,0
2023-10-23,0,1,0.847926267281106,0.0660286977611889,0
2023-10-24,0,1,0.8248847926267281,0.055656897818113726,0
2023-10-25,0,1,0.21658986175115208,0.008214568309789866,0
2023-10-26,0,1,0.7327188940092166,0.03657825135857687,0
2023-10-27,0,1,0.2626728110599078,0.009388824083305372,0
2023-10-28,0,1,0.7557603686635944,0.040319190252085746,0
2023-10-29,0,1,0.4930875576036866,0.01702011035043949,0
2023-10-30,0,1,0.6082949308755761,0.024003422162071138,0
2023-10-31,0,1,0.2626728110599078,0.009594379254273524,0
2023-11-01,0,1,0.4608294930875576,0.016081770955760268,0
2023-11-02,0,1,0.31336405529953915,0.011636846050029003,0
2023-11-03,0,1,0.19815668202764977,0.008140966768291904,0
2023-11-04,0,1,0.6543778801843319,0.029768343680900828,0
2023-11-05,0,1,0.9032258064516129,0.14648163173248815,0
2023-11-06,0,1,0.7373271889400922,0.03759955812061599,0
2023-11-07,0,1,0.9078341013824884,0.21327733945120336,0
2023-11-08,0,1,0.9124423963133641,0.35584500708353495,0
2023-11-09,1,1,0.8847926267281107,0.08759415442874376,0
2023-11-10,1,1,0.6497695852534562,0.028634047574910504,0
2023-11-11,0,1,0.8894009216589862,0.10656960216194977,0
2023-11-12,0,1,0.6405529953917051,0.026972757062207142,0
2023-11-13,1,1,0.8847926267281107,0.08627912778004508,0
2023-11-14,1,1,0.8433179723502304,0.06379020792467173,0
2023-11-15,0,1,0.391705069124424,0.013471011813753049,0
