date,target,score,threshold,fold_id,scope,model
2023-07-08,0,0.019678933099883764,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-09,0,0.024198339228826155,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-10,0,0.014141353537469838,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-11,0,0.12524966356462047,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-12,0,0.0852358302255856,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-13,1,0.07523562008232537,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-14,1,0.3076961823525009,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-15,0,0.09392113106503383,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-16,0,0.014641634958425506,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-17,0,0.025685928539783073,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-18,0,0.01785065677564219,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-19,0,0.07773955101033553,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-20,0,0.28388383511840015,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-21,0,0.0780537794239687,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-22,0,0.050604369698593915,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-23,0,0.08155961545952434,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-24,0,0.047927651021142305,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-25,0,0.07898175053630249,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-26,0,0.0277149917340006,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-27,0,0.1513163760792725,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-28,0,0.014076876954216479,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-29,0,0.09891718380152212,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-30,0,0.06183877556787733,0.32813436734206647,0,portable_merchant,hist_gb
2023-07-31,0,0.12026933165120009,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-01,0,0.049844597898752896,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-02,0,0.08981818566911833,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-03,0,0.05104462992013598,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-04,0,0.057366734847306866,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-05,0,0.14154875401952832,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-06,0,0.7025006814578011,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-07,0,0.17543415545963006,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-08,0,0.19306507679434193,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-09,0,0.2822853944942754,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-10,0,0.1836946243962196,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-11,0,0.4289772117077772,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-12,0,0.4072942619453816,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-13,0,0.2419318923795783,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-14,0,0.062472236712576325,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-15,0,0.08899629636579434,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-16,0,0.01754799534375017,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-17,0,0.30401141286997,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-18,1,0.06430482520024591,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-19,0,0.03341568096305758,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-20,0,0.13395434867436942,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-21,0,0.22833449496929553,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-22,0,0.22385734222250445,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-23,0,0.06067559793040183,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-24,0,0.14597711895341206,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-25,0,0.03396859910932014,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-26,0,0.12581655979523573,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-27,0,0.2811574315271812,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-28,0,0.1694966376020298,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-29,0,0.10713608962035087,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-30,0,0.1105382538280953,0.32813436734206647,0,portable_merchant,hist_gb
2023-08-31,0,0.15807165950094895,0.32813436734206647,0,portable_merchant,hist_gb
2023-09-01,0,0.2584144827044183,0.32813436734206647,0,portable_merchant,hist_gb
2023-09-02,0,0.1755781012470614,0.32813436734206647,0,portable_merchant,hist_gb
