feature,standardized_mean_difference,abs_smd,external_at_source_clip_boundary_share
merchant__unique_products__change_7,0.08590238778949333,0.08590238778949333,0.43333333333333335
merchant__net_sales_sar__z_28,-0.08209071045731131,0.08209071045731131,0.016666666666666666
merchant__invoice_count__change_7,0.07926774712786877,0.07926774712786877,0.2
merchant__units__ratio_mean_14,-0.07869737288054654,0.07869737288054654,0.18333333333333332
merchant__average_invoice_value_sar__ratio_mean_28,-0.07583647687869913,0.07583647687869913,0.11666666666666667
merchant__transaction_rows__change_14,0.07510582316063903,0.07510582316063903,0.23333333333333334
market__sama_weekly_market_index__change_1,-0.07324163655441092,0.07324163655441092,0.016666666666666666
merchant__gross_sales_sar__change_28,0.07121196381533947,0.07121196381533947,0.16666666666666666
merchant__returning_observed_customers__change_1,0.06834855151914825,0.06834855151914825,0.11666666666666667
merchant__invoice_count__ratio_mean_7,-0.06759998448282843,0.06759998448282843,0.15
merchant__average_invoice_value_sar__change_7,0.060544129756795254,0.060544129756795254,0.15
merchant__unique_observed_customers__z_14,-0.05824963786556265,0.05824963786556265,0.03333333333333333
merchant__units__ratio_mean_28,-0.051641376409137504,0.051641376409137504,0.15
merchant__returning_observed_customers__change_14,-0.048512076980559836,0.048512076980559836,0.03333333333333333
merchant__average_invoice_value_sar__ratio_mean_7,0.046164623787447345,0.046164623787447345,0.13333333333333333
calendar__dow_cos,0.043545205131511035,0.043545205131511035,0.4166666666666667
merchant__returning_observed_customers__ratio_mean_7,0.04276114764480944,0.04276114764480944,0.08333333333333333
merchant__net_sales_sar__z_14,-0.04188988009469185,0.04188988009469185,0.08333333333333333
merchant__return_rate_value__ratio_mean_28,-0.04079136328350318,0.04079136328350318,0.7
merchant__average_invoice_value_sar__change_28,-0.03956738512704193,0.03956738512704193,0.11666666666666667
merchant__transaction_rows__change_28,-0.03678868880787598,0.03678868880787598,0.15
merchant__returning_observed_customers__change_7,-0.034316592570847,0.034316592570847,0.06666666666666667
merchant__units__change_28,0.033883905798290335,0.033883905798290335,0.15
merchant__invoice_count__change_28,0.03115247751502719,0.03115247751502719,0.16666666666666666
merchant__return_rate_value__ratio_mean_14,-0.030476373952861072,0.030476373952861072,0.7166666666666667
merchant__return_rate_value__ratio_mean_7,0.029941858557259456,0.029941858557259456,0.6666666666666666
merchant__units__ratio_mean_7,-0.029663756215530385,0.029663756215530385,0.23333333333333334
merchant__unique_observed_customers__ratio_mean_7,0.026568265194421407,0.026568265194421407,0.13333333333333333
merchant__average_invoice_value_sar__change_14,0.025370202512139475,0.025370202512139475,0.11666666666666667
merchant__unique_observed_customers__ratio_mean_14,-0.02487830664141239,0.02487830664141239,0.16666666666666666
merchant__average_invoice_value_sar__ratio_mean_14,0.02299546522280816,0.02299546522280816,0.15
calendar__dow_sin,-0.020915659169665275,0.020915659169665275,0.2833333333333333
calendar__salary_period,-0.020698499450610103,0.020698499450610103,1.0
merchant__invoice_count__z_7,-0.016418584985794547,0.016418584985794547,0.03333333333333333
merchant__returning_observed_customers__ratio_mean_14,-0.014852567812273025,0.014852567812273025,0.11666666666666667
merchant__net_sales_sar__z_7,0.011085621485903375,0.011085621485903375,0.05
merchant__return_rate_value__ratio_mean_56,0.010076077604659981,0.010076077604659981,0.6666666666666666
merchant__unique_observed_customers__z_7,-0.009571231420552932,0.009571231420552932,0.03333333333333333
merchant__unique_products__change_28,-0.009018114484516337,0.009018114484516337,0.26666666666666666
merchant__unique_observed_customers__change_14,0.004881029020608358,0.004881029020608358,0.03333333333333333
merchant__unique_observed_customers__change_7,-0.003543619505734913,0.003543619505734913,0.06666666666666667
