month,rows,positives,positive_rate,sales_mean,sales_std
2020-01,4,0.0,0.0,67396.5,9236.984879638305
2020-02,29,1.0,0.034482758620689655,70926.68965517242,15432.09562915514
2020-03,31,2.0,0.06451612903225806,65414.83870967742,14940.177721157968
2020-04,30,2.0,0.06666666666666667,66987.4,13683.999772198084
2020-05,31,5.0,0.16129032258064516,63815.32258064516,16666.25402699938
2020-06,30,3.0,0.1,62980.3,21082.096925328977
2020-07,31,5.0,0.16129032258064516,67922.03225806452,19067.44446866416
2020-08,31,2.0,0.06451612903225806,70732.2258064516,23790.085770771093
2020-09,30,5.0,0.16666666666666666,68443.26666666666,17962.792603972615
2020-10,31,4.0,0.12903225806451613,64331.645161290326,17340.248738216702
2020-11,30,1.0,0.03333333333333333,62822.566666666666,18531.664922660002
2020-12,31,6.0,0.1935483870967742,72092.06451612903,22001.199824760293
2021-01,31,0.0,0.0,63626.67741935484,14266.735654164426
2021-02,28,0.0,0.0,71861.17857142857,15090.698265889368
2021-03,31,4.0,0.12903225806451613,67656.58064516129,16136.451352500428
2021-04,30,3.0,0.1,68515.3,17494.555677557873
2021-05,31,3.0,0.0967741935483871,63747.45161290323,14861.957797990388
2021-06,30,1.0,0.03333333333333333,68207.2,18192.82921524776
2021-07,31,0.0,0.0,68511.70967741935,13632.162545963498
2021-08,31,5.0,0.16129032258064516,72318.74193548386,20312.104991798595
2021-09,30,5.0,0.16666666666666666,64109.166666666664,17149.40131272977
2021-10,31,1.0,0.03225806451612903,63534.6129032258,16375.495818808908
2021-11,30,3.0,0.1,64121.46666666667,16839.383098974347
2021-12,31,1.0,0.03225806451612903,65904.6129032258,17088.03892722903
2022-01,31,2.0,0.06451612903225806,66283.0,17491.65471493954
2022-02,28,0.0,0.0,66154.64285714286,15201.177320911658
2022-03,31,3.0,0.0967741935483871,68035.41935483871,13703.922693336614
2022-04,30,4.0,0.13333333333333333,71776.2,16615.810776237315
2022-05,31,3.0,0.0967741935483871,67152.87096774194,16195.011342471968
2022-06,30,9.0,0.3,67781.93333333333,15805.148283748065
2022-07,31,0.0,0.0,68777.83870967742,17301.302321110154
2022-08,31,0.0,0.0,64807.903225806454,13270.59292158126
2022-09,30,8.0,0.26666666666666666,68329.26666666666,18612.588856105882
2022-10,31,1.0,0.03225806451612903,70760.7741935484,22197.338641842744
2022-11,30,0.0,0.0,69029.1,17696.006571423455
2022-12,31,5.0,0.16129032258064516,73397.2258064516,16290.901856986877
2023-01,31,1.0,0.03225806451612903,66398.70967741935,17726.389243523434
2023-02,28,1.0,0.03571428571428571,70693.0,16285.873117066378
2023-03,31,3.0,0.0967741935483871,64678.32258064516,12643.070577427245
2023-04,30,3.0,0.1,71812.53333333334,13669.84377413273
2023-05,31,7.0,0.22580645161290322,61611.32258064516,18954.30230736916
2023-06,30,2.0,0.06666666666666667,66612.63333333333,18144.029606957793
2023-07,31,1.0,0.03225806451612903,71402.12903225806,20371.131727262044
2023-08,31,3.0,0.0967741935483871,66228.32258064517,17514.002686207205
2023-09,30,1.0,0.03333333333333333,71493.26666666666,18263.224396987313
2023-10,31,4.0,0.12903225806451613,64027.22580645161,15847.520718206319
2023-11,30,5.0,0.16666666666666666,68523.16666666667,19993.361306958235
2023-12,24,0.0,0.0,71078.125,17049.71237373739
