date,target,fold_id,rank_score,raw_score,config_id
2023-07-08,0,0,0.56,0.026027833369135632,0
2023-07-09,0,0,0.224,0.009729630796479587,0
2023-07-10,0,0,0.224,0.009759084243520916,0
2023-07-11,0,0,0.88,0.10602293962163602,0
2023-07-12,0,0,0.632,0.03747585394545478,0
2023-07-13,1,0,0.536,0.023820755367595717,0
2023-07-14,1,0,0.544,0.024521721323692264,0
2023-07-15,0,0,0.192,0.008729172646634198,0
2023-07-16,0,0,0.416,0.016445005552350365,0
2023-07-17,0,0,0.48,0.019973482273057487,0
2023-07-18,0,0,0.048,0.004727377220195077,0
2023-07-19,0,0,0.208,0.009412122428279135,0
2023-07-20,0,0,0.576,0.028869811595254872,0
2023-07-21,0,0,0.528,0.022974108754669605,0
2023-07-22,0,0,0.192,0.008662647057258078,0
2023-07-23,0,0,0.104,0.0070595112633247805,0
2023-07-24,0,0,0.376,0.013412067845934022,0
2023-07-25,0,0,0.456,0.01811628899805415,0
2023-07-26,0,0,0.088,0.005683440653244561,0
2023-07-27,0,0,0.368,0.012478846667996408,0
2023-07-28,0,0,0.368,0.012505087975391729,0
2023-07-29,0,0,0.88,0.1014771227378906,0
2023-07-30,0,0,0.144,0.007960856927949605,0
2023-07-31,0,0,0.192,0.008476294934832563,0
2023-08-01,0,0,0.576,0.03158478777833705,0
2023-08-02,0,0,0.192,0.008496225216731497,0
2023-08-03,0,0,0.096,0.006527719421814488,0
2023-08-04,0,0,0.616,0.03400691691364114,0
2023-08-05,0,0,0.416,0.016681713893707355,0
2023-08-06,0,0,0.688,0.04616915369275865,0
2023-08-07,0,0,0.48,0.020461341135123948,0
2023-08-08,0,0,0.384,0.014555836248104834,0
2023-08-09,0,0,0.144,0.008016579151653463,0
2023-08-10,0,0,0.8,0.0642003130920418,0
2023-08-11,0,0,0.872,0.08980439944898301,0
2023-08-12,0,0,0.824,0.0713291231401331,0
2023-08-13,0,0,0.456,0.017776853763952997,0
2023-08-14,0,0,0.032,0.0045245510732552325,0
2023-08-15,0,0,0.56,0.02703665492834005,0
2023-08-16,0,0,0.176,0.0083159335064707,0
2023-08-17,0,0,0.368,0.012320304918536907,0
2023-08-18,1,0,0.304,0.011266926549693164,0
2023-08-19,0,0,0.096,0.006232744213189656,0
2023-08-20,0,0,0.208,0.009457462058807176,0
2023-08-21,0,0,0.84,0.08153288744040359,0
2023-08-22,0,0,0.544,0.02508506775279603,0
