date,target,score,threshold,fold_id,scope,model
2023-07-08,0,0.23431960299261215,0.185,0,portable_comparable_merchant,extra_trees
2023-07-09,0,0.10324928668783791,0.185,0,portable_comparable_merchant,extra_trees
2023-07-10,0,0.11231139062832837,0.185,0,portable_comparable_merchant,extra_trees
2023-07-11,0,0.5057572148904989,0.185,0,portable_comparable_merchant,extra_trees
2023-07-12,0,0.31249847870922615,0.185,0,portable_comparable_merchant,extra_trees
2023-07-13,1,0.3348395476185449,0.185,0,portable_comparable_merchant,extra_trees
2023-07-14,1,0.44041616176682485,0.185,0,portable_comparable_merchant,extra_trees
2023-07-15,0,0.10448092396923392,0.185,0,portable_comparable_merchant,extra_trees
2023-07-16,0,0.09228507167856664,0.185,0,portable_comparable_merchant,extra_trees
2023-07-17,0,0.18358642482376558,0.185,0,portable_comparable_merchant,extra_trees
2023-07-18,0,0.09583057840919372,0.185,0,portable_comparable_merchant,extra_trees
2023-07-19,0,0.14160681251724094,0.185,0,portable_comparable_merchant,extra_trees
2023-07-20,0,0.3921753790055886,0.185,0,portable_comparable_merchant,extra_trees
2023-07-21,0,0.19947064441239093,0.185,0,portable_comparable_merchant,extra_trees
2023-07-22,0,0.16162252523092008,0.185,0,portable_comparable_merchant,extra_trees
2023-07-23,0,0.15991155208784016,0.185,0,portable_comparable_merchant,extra_trees
2023-07-24,0,0.031235339177403468,0.185,0,portable_comparable_merchant,extra_trees
2023-07-25,0,0.022337590025551145,0.185,0,portable_comparable_merchant,extra_trees
2023-07-26,0,0.01588745414900028,0.185,0,portable_comparable_merchant,extra_trees
2023-07-27,0,0.03704432891002427,0.185,0,portable_comparable_merchant,extra_trees
2023-07-28,0,0.029463492849019054,0.185,0,portable_comparable_merchant,extra_trees
2023-07-29,0,0.05596520040854922,0.185,0,portable_comparable_merchant,extra_trees
2023-07-30,0,0.036618941542772086,0.185,0,portable_comparable_merchant,extra_trees
2023-07-31,0,0.0547273936017129,0.185,0,portable_comparable_merchant,extra_trees
2023-08-01,0,0.24497603859951,0.185,0,portable_comparable_merchant,extra_trees
2023-08-02,0,0.19497402445824455,0.185,0,portable_comparable_merchant,extra_trees
2023-08-03,0,0.2713694880836956,0.185,0,portable_comparable_merchant,extra_trees
2023-08-04,0,0.4968854793520725,0.185,0,portable_comparable_merchant,extra_trees
2023-08-05,0,0.3230662714297967,0.185,0,portable_comparable_merchant,extra_trees
2023-08-06,0,0.5217867422100994,0.185,0,portable_comparable_merchant,extra_trees
2023-08-07,0,0.32382306490098905,0.185,0,portable_comparable_merchant,extra_trees
2023-08-08,0,0.3165204403199916,0.185,0,portable_comparable_merchant,extra_trees
2023-08-09,0,0.2262029855389167,0.185,0,portable_comparable_merchant,extra_trees
2023-08-10,0,0.4299430652717149,0.185,0,portable_comparable_merchant,extra_trees
2023-08-11,0,0.47544298260217704,0.185,0,portable_comparable_merchant,extra_trees
2023-08-12,0,0.4907073535188021,0.185,0,portable_comparable_merchant,extra_trees
2023-08-13,0,0.3102104402989951,0.185,0,portable_comparable_merchant,extra_trees
2023-08-14,0,0.1520439497654574,0.185,0,portable_comparable_merchant,extra_trees
2023-08-15,0,0.3562618769616406,0.185,0,portable_comparable_merchant,extra_trees
2023-08-16,0,0.25247252941176923,0.185,0,portable_comparable_merchant,extra_trees
2023-08-17,0,0.3411800318726491,0.185,0,portable_comparable_merchant,extra_trees
2023-08-18,1,0.2929291637888953,0.185,0,portable_comparable_merchant,extra_trees
2023-08-19,0,0.07454109238325195,0.185,0,portable_comparable_merchant,extra_trees
2023-08-20,0,0.3018548945659481,0.185,0,portable_comparable_merchant,extra_trees
2023-08-21,0,0.3598249727315083,0.185,0,portable_comparable_merchant,extra_trees
2023-08-22,0,0.5081783731072528,0.185,0,portable_comparable_merchant,extra_trees
2023-08-23,0,0.31144332948417314,0.185,0,portable_comparable_merchant,extra_trees
2023-08-24,0,0.07330164341524531,0.185,0,portable_comparable_merchant,extra_trees
2023-08-25,0,0.009957654731626403,0.185,0,portable_comparable_merchant,extra_trees
