week_start,indicator,sector,city,value,week_end,source,data_status
2023-01-01,Number of Transactions (In Thousand),Total,MAKKAH,6661.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,MAKKAH,-5.221969265793967,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,MAKKAH,460932.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Total,MAKKAH,-15.644645023855407,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Total,OTHER,55608.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,OTHER,-7.221035771489589,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,OTHER,3345799.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Total,OTHER,-18.63632019528456,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Total,RIYADH,45664.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,RIYADH,-4.749588035293381,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,RIYADH,3654439.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Total,RIYADH,-14.226785395332048,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Total,TABOUK,3387.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,TABOUK,-11.149003147953833,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,TABOUK,206959.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Total,TABOUK,-24.325836328600627,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Beverage and Food,Total,34848.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Beverage and Food,Total,-4.80509192230994,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Beverage and Food,Total,1746125.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Beverage and Food,Total,-16.28740608776153,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Clothing and Footwear,Total,5883.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
