origin_week_start,sector,forecast_h1_week_start,forecast_h2_week_start,predicted_value_h1,predicted_value_h2,predicted_count_h1,predicted_count_h2,actual_value_h1,actual_value_h2,actual_count_h1,actual_count_h2,predicted_value_h1_index_52median,predicted_value_h2_index_52median,predicted_count_h1_index_52median,predicted_count_h2_index_52median,predicted_value_h1_change_vs_last,predicted_value_h2_change_vs_last,predicted_count_h1_change_vs_last,predicted_count_h2_change_vs_last
2022-12-25,Beverage and Food,2023-01-01,2023-01-08,1822946.8873917568,1574123.903091753,39320.26988380274,37737.97774840844,1746125.0,1567098.0,34848.0,34285.0,1.1835188653675648,1.0219745559349085,1.2048127798689405,1.1563297508398223,-0.1260441691871702,-0.2453346978763391,0.07411888119219667,0.030895122474074332
2022-12-25,Clothing and Footwear,2023-01-01,2023-01-08,916024.3689355908,749557.9801402987,5623.184705264144,4687.8171994362165,863494.0,759215.0,5883.0,5388.0,1.2829904211564407,1.0498363812513287,1.2226972614186007,1.0193122851568204,-0.17799861543509654,-0.32737848644469747,-0.22449528268319618,-0.3534936974987979
2022-12-25,Construction & Building Materials,2023-01-01,2023-01-08,312501.5034184929,355807.0844165817,1203.359231860309,1215.5246086812353,319512.0,329833.0,1228.0,1233.0,0.8486607611526874,0.9662657868244536,1.1065372246991347,1.1177237780976876,-0.22871319518893862,-0.12183043516018821,-0.07219797080932233,-0.06281834334523106
2022-12-25,Education,2023-01-01,2023-01-08,189110.03276905208,152090.6300401692,121.63745899373019,112.84109529953756,127602.0,159412.0,82.0,96.0,1.6479530891516418,1.3253565658877795,1.0958329639074793,1.016586444139978,-0.1339132916462007,-0.30345486585679327,-0.07146977867381532,-0.13861759313330113
2022-12-25,Electronic & Electric Devices,2023-01-01,2023-01-08,235837.37208489058,244213.31938186142,788.9948813690673,787.3575222826623,234654.0,210012.0,811.0,753.0,0.945827556537691,0.9794193562407966,1.0457188619868354,1.0435487372864976,-0.16511242615392852,-0.13546074603380998,-0.09518935622813374,-0.09706706160245149
2022-12-25,Furniture,2023-01-01,2023-01-08,285564.84060533927,279372.3763607382,1039.2911337348578,1005.5159379467483,309902.0,275780.0,1101.0,1017.0,0.9389673067139472,0.9186058313259061,1.0686798290332729,1.033949550587916,-0.34057152745915753,-0.3548712123553266,-0.2084606749924922,-0.23418435799943005
2022-12-25,Gas Stations,2023-01-01,2023-01-08,755625.0570153447,698528.3931325465,13670.333097829034,13153.096405908547,728190.0,744710.0,12591.0,13049.0,1.1210613485009042,1.0363515279184816,1.145974775574569,1.1026151736028624,-0.059832232382274864,-0.13087334268259132,0.010895000948682565,-0.027353663690856567
2022-12-25,Health,2023-01-01,2023-01-08,756912.3891139119,703911.18798115,8249.515481650062,7553.333282013203,718576.0,703248.0,7309.0,7346.0,1.0507177692691418,0.9771434631489923,1.1777450898208384,1.0783543838979517,-0.11667187258773692,-0.17852507042217935,0.033773869880960206,-0.05346700726651599
2022-12-25,Hotels,2023-01-01,2023-01-08,236602.3771488105,229790.28216173142,612.6697185207593,604.0659980991371,242118.0,293546.0,537.0,604.0,1.0015233378787074,0.9726881579805979,1.096991438712192,1.0815863887182402,-0.1699880475662564,-0.19388518811287692,0.021116197534598813,0.0067766634985617635
2022-12-25,Jewelry,2023-01-01,2023-01-08,202540.14856391068,204757.10885483844,225.9278261469161,221.49482915004612,177937.0,166885.0,205.0,200.0,0.9208756294308557,0.9309553332219641,1.0732913356148033,1.0522319674586513,-0.07752219855115128,-0.06742495773457746,-0.03860499511950599,-0.05746881212746335
