week_start,week_end,value_thousand_sar,source,data_status
2023-10-29,2023-11-04,12779798.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-11-05,2023-11-11,11500110.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-11-12,2023-11-18,11271436.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-11-19,2023-11-25,11247844.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-11-26,2023-12-02,14874136.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-12-03,2023-12-09,12067066.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-12-10,2023-12-16,11637501.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-12-17,2023-12-23,10701068.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-12-24,2023-12-30,13989326.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-12-31,2024-01-06,13393810.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2024-01-07,2024-01-13,12347101.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2024-01-14,2024-01-20,10607691.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2024-01-21,2024-01-27,11039904.0,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
